1_153109_AG_H_BSA	1_153109_AG_H_IL13	2_153087_AG_A_BSA	2_153087_AG_A_IL13	3_156680_AA_H_BSA	3_156680_AA_H_IL13	4_154741_AA_A_BSA	4_154741_AA_A_IL13	5_153477_GG_A_BSA	5_153477_GG_A_IL13	6_153870_GG_H_BSA	6_153870_GG_H_IL13	7_156466_AA_A_BSA	7_156466_AA_A_IL13	8_152328_AG_A_BSA	8_152328_AG_A_IL13	9_153741_GG_H_BSA	9_153741_GG_H_IL13
EHD4	17	8	17	9	17	12	15	14	16	15	18	14	18	14	17	16	15	16
ALDH2	17	10	18	15	18	17	17	19	17	18	17	17	19	15	15	16	18	15
CTSB	20	14	19	12	21	15	18	16	20	20	18	15	18	15	16	14	12	14
CALM3	6	8	15	11	11	11	13	13	10	13	15	12	12	14	10	10	8	9
IGFBP2	15	7	18	15	16	14	16	17	15	13	17	16	15	15	9	11	7	7
TKT	15	16	19	16	18	18	16	16	19	20	17	15	19	17	17	14	16	17
SERPINB3	17	19	18	20	18	21	19	19	18	20	18	20	17	20	16	18	16	17
SERPINB6	7	8	11	12	11	14	11	14	10	19	15	13	10	13	14	14	12	15
MDH2	19	13	21	20	21	20	20	21	19	21	18	20	21	20	15	18	17	19
LRPPRC	9	6	16	17	12	12	12	17	5	19	14	12	17	14	10	19	16	19
GPD2	10	8	16	12	9	13	14	16	7	17	17	12	13	13	9	16	15	16
NAMPT	11	12	15	18	15	16	14	19	14	18	12	17	14	18	12	16	13	15
ANXA11	16	12	18	18	17	14	17	20	15	17	16	16	16	17	15	18	15	17
HADHB	14	11	17	17	15	17	17	20	12	19	17	15	17	18	15	16	15	18
YWHAE	14	11	20	20	18	20	19	19	18	21	20	18	18	19	13	16	13	13
CCT2	15	11	18	19	17	16	18	17	17	20	18	18	19	18	15	17	17	16
ALDOA	16	15	18	19	18	19	19	19	18	18	17	18	18	19	15	17	13	16
FH	10	4	11	10	11	12	12	15	7	15	10	10	10	14	9	11	10	14
PLS3	11	12	15	14	12	11	16	17	14	17	15	14	15	14	11	14	13	12
POR	10	8	16	14	16	15	16	17	11	13	15	10	17	17	11	11	13	15
STOM	15	12	15	15	18	17	16	17	15	17	16	19	17	18	13	13	12	13
NDUFS1	11	5	14	15	11	15	14	13	6	17	12	12	11	14	8	12	14	15
UQCRC1	14	10	15	14	13	14	16	17	11	16	15	15	15	16	10	14	12	13
SERPINB5	13	16	15	15	15	15	18	16	15	17	16	14	12	17	13	15	13	15
ATP12A	5	9	8	14	5	14	5	14	6	17	8	17	5	17	2	15	8	13
PRKDC	8	1	12	10	9	9	12	15	4	14	9	9	12	11	12	14	11	17
LGALS3BP	17	15	18	16	16	15	17	17	16	16	17	14	17	17	15	15	16	14
PLS1	9	15	20	15	12	18	19	18	12	18	18	18	16	17	12	16	10	17
EPS8L2	12	11	13	11	13	12	15	17	13	13	16	18	14	13	13	13	12	14
QSOX1	16	14	18	17	17	16	17	18	18	19	13	12	17	19	15	18	17	17
HSPB1	14	13	17	17	16	16	16	18	13	15	17	14	14	15	11	14	14	14
HSP90AB1	12	10	15	15	15	15	17	17	13	13	16	14	14	11	12	13	12	11
JUP	12	8	16	14	14	16	14	17	12	18	14	10	13	16	12	16	12	16
HK1	10	9	14	14	13	15	15	17	9	19	16	13	14	16	13	16	13	16
ALDH1A3	14	16	14	13	14	18	14	17	16	17	13	13	14	17	12	17	14	14
CCT5	12	10	13	13	11	14	13	14	12	15	13	14	12	15	10	11	12	12
TPI1	15	13	18	18	17	17	17	17	17	18	15	18	16	18	16	15	14	15
PPIA	17	13	19	17	18	16	18	17	16	18	18	17	15	18	11	13	10	11
GFPT1	6	4	14	16	12	15	12	16	9	17	16	14	13	14	11	14	12	16
SLC25A24	10	7	12	10	9	12	12	12	7	14	11	10	9	11	10	11	10	12
HSPH1	8	6	13	14	13	10	17	14	12	15	17	14	14	14	13	13	15	14
SLK	8	6	12	12	14	8	13	12	9	15	15	12	17	14	11	14	12	16
MYO6	12	8	15	15	9	16	17	16	10	16	15	15	12	16	11	12	12	15
LDHA	12	14	17	18	17	16	18	17	16	18	18	13	15	17	12	15	12	15
KRT14	6	8	14	15	11	8	11	15	10	11	14	12	8	8	7	8	11	9
ITGAV	13	10	10	13	13	16	10	13	11	13	9	7	13	15	14	12	8	16
ANXA5	13	11	15	14	12	14	14	14	12	14	14	15	13	14	11	11	11	11
PYGB	11	10	15	15	15	13	14	15	13	14	15	14	14	14	14	16	15	15
XRCC6	13	6	17	12	14	17	15	18	13	17	16	13	14	16	14	14	13	15
SFN	12	15	15	15	15	16	14	16	16	17	17	16	14	17	14	15	11	12
KIF5B	7	8	14	13	12	13	16	16	12	16	13	15	14	15	14	16	15	15
CCT6A	10	10	14	14	13	14	14	13	11	16	13	12	17	14	11	13	12	14
HSD17B4	9	6	13	11	14	13	9	14	11	16	12	10	13	15	9	15	14	16
