1_153109_AG_H_BSA	1_153109_AG_H_IL13	2_153087_AG_A_BSA	2_153087_AG_A_IL13	3_156680_AA_H_BSA	3_156680_AA_H_IL13	4_154741_AA_A_BSA	4_154741_AA_A_IL13	5_153477_GG_A_BSA	5_153477_GG_A_IL13	6_153870_GG_H_BSA	6_153870_GG_H_IL13	7_156466_AA_A_BSA	7_156466_AA_A_IL13	8_152328_AG_A_BSA	8_152328_AG_A_IL13	9_153741_GG_H_BSA	9_153741_GG_H_IL13
SRSF7	4	3	4	4	5	5	3	4	4	5	4	3	4	5	2	5	4	3
NDUFA5	3	2	4	5	3	5	5	5	3	5	4	3	4	4	4	5	3	4
KYNU	1	2	5	3	5	5	5	5	3	5	3	3	4	4	4	5	4	4
HAGH	1	0	5	4	4	4	5	4	3	3	3	4	3	4	4	4	3	3
NOMO2	3	1	2	1	2	4	0	1	3	4	3	1	1	3	1	4	4	5
TOR1AIP1	5	2	5	3	4	3	4	5	3	5	3	3	4	2	1	3	3	4
LLGL2	0	0	3	4	0	2	1	3	0	5	0	3	2	4	0	3	1	4
PRPF8	0	2	1	3	1	3	2	3	1	4	2	2	2	0	1	3	2	2
PDXDC1	0	0	2	1	2	4	0	3	0	3	2	4	1	3	1	1	2	2
C16orf89	1	0	2	0	3	0	1	0	4	0	3	0	4	0	4	0	2	0
SND1	1	2	2	3	3	3	3	2	1	4	3	1	2	3	2	2	1	3
DCXR	1	3	2	3	0	2	3	4	0	5	1	3	0	3	0	0	1	2
NME9	1	1	4	2	2	2	5	3	2	2	5	4	5	2	1	2	3	2
CCAR2	2	0	4	2	3	3	3	4	4	5	3	3	4	4	4	3	3	4
MCU	2	2	4	4	4	4	4	4	3	5	5	3	5	4	3	5	4	5
DYNC2I1	2	1	4	2	3	1	4	3	1	1	4	2	5	1	1	1	2	1
DNAJA4	0	0	3	0	2	2	4	3	1	2	3	2	4	1	1	2	2	2
IFT81	0	1	2	0	2	0	3	2	2	1	3	3	4	0	1	1	3	1
TM9SF4	4	1	4	2	2	4	3	5	2	5	4	4	3	4	2	4	4	3
KHSRP	2	1	5	3	3	4	5	4	3	5	3	3	4	4	4	5	3	5
TEKT1	0	1	5	0	2	0	4	1	0	0	5	0	5	0	3	0	1	1
ABHD14B	2	0	4	3	2	3	3	4	2	3	3	3	3	3	2	3	2	3
PACRG	0	0	3	3	1	0	4	2	3	0	4	1	5	1	2	1	3	0
HTATIP2	2	1	1	2	3	2	2	3	1	4	3	2	3	2	2	2	1	5
BDH2	1	1	2	1	3	2	3	3	4	2	4	3	4	1	3	2	3	2
VAMP8	4	4	5	4	4	4	4	5	4	4	5	4	4	5	3	4	3	3
CEP41	0	1	3	0	0	1	4	1	0	1	3	0	5	0	1	1	2	0
GLIPR2	4	2	5	3	5	3	5	4	5	4	5	5	5	5	4	3	4	4
SFXN1	5	2	5	5	5	5	5	5	3	5	5	5	5	5	5	5	5	5
MCCC2	4	2	3	3	2	3	3	4	1	5	3	4	2	4	0	4	3	4
XPNPEP1	1	0	2	2	1	3	1	3	1	2	2	2	3	3	3	1	3	2
MYO5C	0	1	2	0	1	1	2	1	1	3	5	3	4	0	0	0	2	2
DUOX1	0	0	4	2	3	3	4	4	1	4	5	2	2	2	2	2	5	3
ST6GALNAC1	4	3	5	5	5	4	5	5	2	4	5	4	4	4	3	5	4	5
FARSB	2	2	3	4	3	3	4	4	1	4	1	3	4	4	2	4	2	4
TMOD3	2	2	4	3	3	3	2	3	3	4	5	4	3	4	2	5	4	5
WDR35	0	0	3	0	1	1	2	1	2	2	4	3	4	3	2	0	4	2
GNG12	4	4	5	4	5	5	5	5	5	4	5	4	5	5	4	4	4	5
GRHPR	1	3	3	4	4	4	3	4	2	3	3	1	3	4	4	4	3	3
KLK11	5	3	5	5	5	3	5	4	5	4	4	5	5	3	4	4	3	4
NIPSNAP3A	1	2	1	3	1	4	4	4	1	3	0	3	2	4	1	3	2	3
DPP7	2	2	4	2	4	3	5	3	4	4	3	4	3	3	3	2	3	5
DNAI1	0	0	3	0	0	1	4	2	1	1	3	2	5	0	1	0	2	0
RALY	4	1	3	4	4	5	3	4	3	5	2	3	3	5	4	4	4	5
VWA7	3	0	4	1	3	1	3	3	3	1	3	1	3	1	3	1	2	1
RPL36	3	2	5	4	3	4	4	5	3	5	3	4	4	4	3	4	2	3
NME7	2	0	4	2	5	4	4	4	2	1	5	1	5	2	3	2	4	0
GMPPB	3	2	4	3	2	5	5	5	1	4	5	5	2	4	1	3	1	2
PSAT1	0	0	2	0	3	2	2	2	4	4	0	2	2	3	3	4	1	3
DCDC2B	0	0	2	1	1	1	1	1	0	0	3	0	2	1	0	1	2	0
CDHR4	0	1	3	0	0	0	2	0	1	0	4	0	2	0	1	0	0	0
PSMD12	1	0	3	2	1	2	1	3	1	3	0	2	1	2	3	3	3	4
PDHX	1	2	4	4	2	3	2	2	1	4	4	4	3	3	2	3	4	4
DNM1L	1	1	2	1	2	1	1	1	1	2	1	1	2	1	1	2	1	2
VWA5A	0	1	1	1	4	3	4	4	2	3	4	2	4	3	2	1	2	2
NOP56	3	0	4	1	3	2	3	2	2	4	4	2	3	2	4	3	3	4
CCN1	3	1	2	1	4	2	2	3	3	4	1	1	3	3	3	3	3	2
COPE	3	2	3	3	1	2	2	3	1	3	0	3	1	3	1	4	1	3
NPC1	2	1	2	4	2	3	3	2	2	4	2	3	3	2	2	4	3	2
ARPC1B	3	2	4	2	4	3	3	3	4	4	4	3	4	4	3	4	4	4
EIF3D	3	1	3	2	1	2	3	2	1	3	2	2	1	2	3	2	4	3
DHX15	1	1	1	2	2	3	2	3	0	3	2	2	1	3	1	2	3	2
TPD52L2	4	2	4	3	3	4	4	3	3	3	3	4	3	3	3	4	3	3
CHMP2A	4	2	4	4	3	4	4	4	4	4	3	4	4	4	4	4	4	4
PSCA	4	1	4	4	2	1	4	3	3	3	4	2	4	3	1	1	2	2
AKR1B10	2	1	2	2	2	1	2	1	4	2	3	0	3	1	3	2	4	3
KALRN	1	0	2	0	1	1	3	1	2	1	3	2	3	1	1	1	1	2
DIAPH1	1	1	1	2	1	2	1	3	0	2	1	2	2	2	2	3	2	3
TOM1	1	0	2	2	2	1	3	2	2	2	2	1	3	1	2	2	1	3
DNAJA2	0	0	3	3	3	1	3	4	1	2	3	3	3	3	2	3	3	2
NDUFS7	2	1	3	2	3	3	2	3	2	4	3	2	3	3	2	3	3	3
SNRNP200	3	2	4	4	3	4	3	4	2	4	2	2	4	4	4	3	4	4
ETHE1	2	1	3	2	4	3	4	3	2	4	4	1	4	3	1	4	4	4
AP2A1	1	2	3	1	2	3	2	3	1	2	1	3	2	2	1	3	1	3
CLIC3	1	1	3	2	0	1	2	4	1	3	4	3	1	2	1	1	2	3
GNA14	0	0	1	0	1	0	1	0	2	0	3	0	2	0	1	0	0	0
CYB5A	4	3	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
CSTA	2	2	0	4	2	4	3	4	3	4	3	4	3	4	3	4	3	4
FTL	3	4	3	3	2	4	4	4	2	4	3	3	3	3	2	4	3	3
RPLP2	2	4	4	4	3	4	4	4	3	4	3	4	3	4	4	4	4	4
H1-0	4	3	4	4	4	4	4	4	4	4	4	4	4	4	3	3	3	3
MMP2	2	1	1	1	2	1	1	1	3	2	1	1	2	1	4	2	2	1
RPS17	2	3	3	3	2	3	2	4	0	4	1	3	2	4	2	2	2	3
CD63	4	3	3	4	4	3	4	4	4	4	3	4	4	4	4	3	3	3
HLA-C	3	2	2	2	1	2	4	4	3	4	3	3	4	3	3	4	2	4
DLAT	4	3	4	4	4	4	4	3	3	4	3	2	3	4	3	4	3	4
RALA	2	1	3	2	3	2	4	1	2	3	4	3	3	4	3	3	4	3
IGF2R	0	2	0	3	1	3	1	3	0	4	1	3	2	4	0	4	1	3
ADH5	2	1	3	4	4	3	4	3	3	4	3	3	4	4	4	4	4	4
KRT3	2	0	4	1	2	1	2	4	1	0	4	1	2	1	1	2	2	3
BCKDHA	2	1	2	2	1	2	1	2	2	3	1	0	2	1	1	3	3	3
VCAN	4	0	1	0	3	1	0	0	4	2	1	1	4	0	4	1	1	1
F3	2	2	2	1	4	2	2	3	3	4	3	4	3	3	4	4	2	3
IDO1	2	3	3	4	3	4	3	3	3	3	3	3	2	3	3	3	2	2
CPE	2	2	1	4	1	3	1	4	3	3	2	3	1	4	4	4	2	4
GM2A	3	4	3	2	3	3	4	3	4	3	4	3	4	2	3	3	3	4
RPL17	4	4	4	4	4	4	4	4	3	4	4	4	4	4	3	3	3	3
EIF2S2	1	2	3	2	3	3	2	2	3	4	3	1	4	2	3	3	4	4
MDK	3	3	3	1	3	2	3	0	3	2	2	1	3	2	3	2	2	2
DGKA	1	0	1	2	1	2	1	2	2	2	1	1	1	1	1	2	1	3
RPS12	3	2	2	3	3	3	2	4	3	2	3	3	3	3	3	2	3	3
PSMA1	2	2	4	3	4	2	4	4	3	2	3	2	4	3	2	3	2	3
PSMA2	2	2	4	2	4	3	4	2	2	4	4	1	3	3	2	3	1	2
PSMA4	4	4	4	4	4	4	4	4	3	3	4	4	4	4	4	4	4	4
U2AF2	2	3	3	2	3	4	4	2	4	4	4	3	3	3	3	3	3	3
MGAT1	1	2	1	2	1	3	1	4	1	4	2	3	1	3	2	3	1	2
RPL10	3	0	3	4	3	2	3	4	2	4	2	2	3	4	2	2	2	1
APEX1	3	1	3	3	3	2	3	3	3	3	3	2	3	3	3	3	3	2
CD82	3	2	2	2	3	3	3	3	2	3	4	3	3	3	2	2	2	3
MAP4	0	1	1	0	3	1	2	1	2	2	1	1	3	3	3	4	2	3
CCN2	4	0	4	0	3	1	1	2	2	2	3	1	3	2	2	2	2	1
HMOX2	1	0	3	3	1	3	3	2	2	3	3	1	2	2	3	2	3	3
S100A7	1	2	2	1	2	2	4	4	1	2	1	2	2	1	2	2	1	1
HNRNPH1	3	1	3	2	3	2	3	2	2	4	3	3	3	3	2	3	2	3
RPL9	3	2	3	2	4	4	3	4	4	4	4	2	4	4	3	4	3	4
RNASE4	1	1	4	3	2	2	3	4	2	2	1	2	1	2	2	2	1	2
ARL1	3	1	4	1	2	2	1	2	3	3	2	3	2	1	2	3	2	3
STAT3	2	0	1	1	3	0	3	3	1	3	3	2	3	0	2	2	2	4
CXCL5	1	0	0	0	3	0	0	1	4	1	0	0	2	2	1	2	2	2
PAFAH1B1	3	1	2	3	3	3	4	4	3	4	4	2	3	2	3	2	3	3
CRAT	0	2	2	3	0	1	2	3	0	4	0	2	1	3	0	4	2	4
RANBP1	3	1	3	3	3	3	4	4	3	3	3	3	3	4	3	3	3	2
TSFM	1	0	1	0	1	0	0	2	0	1	1	0	0	1	0	1	1	1
ARCN1	2	1	3	2	3	3	3	2	2	3	3	2	2	3	3	3	3	3
GCLM	1	0	3	3	4	1	3	3	2	4	3	1	4	3	2	3	2	3
PSMD8	2	1	2	2	1	1	2	4	1	2	3	3	2	3	2	2	2	3
PSMB2	1	1	3	1	2	2	3	3	2	4	2	1	3	3	2	2	2	3
HINT1	3	2	4	4	3	3	4	4	3	4	4	3	3	4	2	3	2	2
NT5C2	2	3	4	3	3	3	3	3	2	3	3	3	3	3	1	4	4	4
PDLIM4	4	1	4	3	4	2	3	4	4	4	4	4	2	3	4	4	1	3
RPL14	4	2	3	3	3	3	3	3	2	3	4	4	4	4	2	2	2	2
BCAP31	4	1	4	4	4	4	4	4	3	4	3	4	3	4	3	4	3	3
ARHGDIA	3	1	4	2	4	3	3	4	4	4	2	2	4	3	3	3	3	4
SLC25A1	4	3	4	4	4	3	4	4	4	4	4	3	4	4	3	4	4	4
ARFIP1	2	0	2	1	1	3	3	2	2	3	2	1	2	2	2	3	3	3
SUCLG1	1	1	3	3	2	2	3	4	0	4	3	3	3	3	3	3	3	3
TPD52	0	1	3	3	3	4	3	4	3	4	2	2	4	3	2	3	4	4
OXCT1	1	1	3	2	1	1	3	2	2	2	1	1	2	1	2	2	2	4
BID	1	2	2	2	2	2	1	1	2	4	2	2	2	3	2	3	3	4
ARPC4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
EIF3E	2	0	3	2	2	1	2	2	1	2	1	1	2	2	2	2	3	2
UBE2D3	2	0	4	3	3	3	4	3	4	2	4	2	3	3	2	3	3	1
RPL15	2	3	2	4	3	3	3	4	4	4	3	2	4	4	2	4	3	4
RHOA	3	1	4	4	4	4	3	4	3	4	3	4	4	4	1	3	1	3
RPS13	4	4	4	4	3	4	4	4	3	4	4	4	3	4	4	4	4	4
RPL7A	3	2	3	3	4	3	4	3	4	4	4	3	4	3	4	3	4	4
RPS6	4	1	3	2	3	3	2	3	2	4	2	2	3	3	1	2	2	3
UBA52	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
GRB2	2	1	2	2	2	2	3	3	2	1	3	3	1	1	1	2	3	2
AP2B1	3	3	4	3	3	4	4	4	3	4	3	3	4	4	1	4	4	3
DYNLL1	1	1	1	1	3	1	2	1	3	1	3	1	3	1	1	2	1	1
GSTO1	4	3	4	4	3	4	4	4	3	4	3	3	4	4	4	4	4	4
SRSF3	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
U2AF1	2	2	2	3	3	3	2	4	1	4	2	3	2	3	3	3	4	4
EIF4G1	2	0	3	2	3	1	2	3	2	3	2	2	3	2	3	3	4	4
PRKCD	0	0	0	2	0	1	2	3	0	2	2	1	3	3	0	1	1	2
RPL18	3	2	4	3	4	4	3	4	4	4	4	4	4	4	3	4	4	4
TFF3	1	1	3	4	3	4	3	4	2	3	3	4	2	4	2	3	2	2
BAX	2	1	3	2	3	3	2	3	4	4	2	2	4	4	2	3	2	3
PPP3CA	2	1	4	2	2	1	2	2	3	4	2	1	4	2	4	4	3	3
MFGE8	4	1	0	1	1	3	0	2	3	4	4	1	3	2	3	3	4	3
GALNT1	2	1	2	2	3	3	3	3	1	3	2	3	3	3	1	2	2	2
SCRN1	3	2	4	2	4	4	4	2	4	4	4	3	4	4	3	4	3	4
MYO1E	0	0	3	1	3	2	3	3	2	3	3	1	4	1	2	4	4	4
PRDX4	3	3	4	4	4	4	4	4	2	4	3	4	4	4	4	4	4	4
PABPC4	2	1	1	1	2	2	2	2	1	3	2	1	1	1	4	2	2	4
UBE2V1	2	2	3	4	3	3	4	4	2	4	4	4	3	4	3	3	3	2
DYNC1I2	2	3	4	2	2	2	3	3	3	3	3	3	2	2	2	2	2	4
MOGS	1	3	3	3	4	4	4	4	2	4	3	2	2	4	3	3	2	4
NACA	2	1	4	2	4	3	4	3	4	4	3	2	3	3	3	4	4	4
GNA13	2	2	3	2	1	2	4	2	3	2	4	3	4	3	3	4	3	4
CAPRIN1	1	1	2	1	1	2	1	1	1	3	1	1	2	1	1	3	2	3
RBM39	3	2	4	3	3	3	3	3	0	4	2	1	3	3	2	3	3	4
KARS1	0	0	2	2	2	3	2	2	1	2	3	1	1	2	0	2	2	3
PTPA	2	1	4	3	4	3	3	3	4	4	2	2	4	3	4	4	4	4
PCBP2	3	2	4	4	4	3	4	4	3	4	2	4	3	3	3	3	3	3
SEPTIN7	2	1	2	1	3	0	2	3	2	2	2	2	3	2	2	2	3	2
NDUFA9	1	0	2	3	2	2	4	4	1	3	3	4	2	3	0	3	2	2
TKFC	1	1	2	4	1	4	2	4	2	1	3	3	3	3	2	3	1	2
TMEM30B	1	1	2	3	4	2	3	1	2	2	4	3	4	3	3	2	1	3
SLC44A4	2	3	3	3	2	3	3	3	2	2	3	3	2	3	2	2	1	2
ODF2	0	0	2	1	3	1	3	2	1	1	2	1	3	2	3	2	3	2
PPM1L	1	0	1	1	2	1	0	0	3	1	2	1	2	2	1	0	3	3
OLFM4	4	0	1	1	0	0	1	1	3	1	1	3	0	1	2	0	1	2
RAB11FIP1	1	1	2	2	2	2	3	3	1	2	3	4	3	2	2	1	4	3
HSDL2	3	2	3	3	3	4	4	4	2	4	3	3	3	4	4	4	4	4
CFAP77	0	0	2	1	3	0	2	1	2	1	4	1	4	1	1	2	1	1
TMED4	2	1	4	3	4	3	4	3	4	4	3	2	4	4	4	4	4	4
MTDH	2	0	3	2	3	2	3	4	2	4	1	0	3	3	2	4	1	3
CCDC170	0	0	2	1	3	1	2	1	0	1	3	0	4	0	0	0	2	2
ALDH16A1	0	0	0	1	0	1	1	1	0	2	1	1	0	1	0	3	2	3
GPD1L	3	2	4	4	3	3	3	4	2	4	4	3	4	4	4	4	4	4
SUMF2	3	1	3	3	1	1	4	4	3	3	3	3	2	2	3	4	4	3
RDH11	1	1	1	1	1	3	1	1	0	3	1	2	1	2	0	3	1	4
TRAF3IP1	2	1	4	2	3	2	4	2	1	1	4	2	4	2	3	1	4	2
POF1B	1	0	2	3	2	1	3	3	0	2	2	3	1	2	2	1	2	2
NDRG1	1	2	2	2	2	2	4	3	2	3	3	3	2	3	0	2	3	4
GCN1	0	1	1	0	0	2	2	2	0	2	3	2	1	0	0	1	1	2
ARPC1A	2	0	4	2	2	2	3	2	1	4	2	2	3	2	2	3	3	4
TNPO1	2	2	4	4	4	4	4	4	3	4	2	4	4	4	4	4	4	4
CCDC47	1	1	2	2	2	2	2	2	1	3	2	2	3	2	3	2	3	4
EFHD2	2	3	3	4	3	3	3	4	3	3	3	4	3	3	3	3	3	3
ACSF2	2	0	3	1	1	1	2	1	1	3	2	1	3	2	2	2	3	2
ZG16B	4	0	2	1	4	3	1	0	3	0	3	0	3	0	4	1	2	1
MMAB	3	1	4	3	3	4	3	4	0	4	3	3	3	2	2	3	3	4
DDRGK1	0	0	2	0	2	1	1	0	1	2	0	0	2	0	2	1	2	2
DYDC2	3	1	4	3	2	1	3	3	4	3	4	2	4	3	3	2	4	3
VSTM2L	3	1	3	1	3	2	3	1	3	2	3	1	2	2	2	2	2	2
S100A13	3	4	3	3	3	3	3	3	3	4	3	3	3	4	4	4	3	4
HNRNPAB	3	1	4	3	3	3	3	3	2	4	3	2	2	4	1	3	3	3
ARPC5L	2	1	3	2	3	3	2	3	2	2	2	3	4	3	3	3	3	4
TUBA1C	0	0	1	0	0	1	2	0	1	2	2	0	2	1	1	2	1	1
PRXL2A	2	1	2	2	3	2	3	3	2	3	3	1	3	2	3	3	3	3
HDHD3	2	1	3	3	3	3	3	4	2	4	3	3	3	3	3	4	3	4
ACAT2	2	2	3	3	3	4	3	4	2	3	3	3	3	4	3	4	3	4
NMES1	1	1	2	2	1	2	4	2	1	3	2	2	1	2	1	1	2	3
TOLLIP	2	3	2	3	1	3	3	3	2	3	3	4	3	4	2	4	3	4
SDCBP2	1	1	1	4	2	3	2	3	2	4	4	4	2	3	2	4	2	3
TMX1	3	2	4	3	4	4	4	4	3	4	4	4	4	4	4	4	3	4
VPS37B	2	1	1	2	3	3	2	2	1	2	2	2	3	2	2	3	2	3
TM9SF3	3	1	3	3	2	3	3	3	2	4	3	4	3	3	2	3	3	4
RAB18	3	1	3	2	3	3	2	3	1	3	3	2	3	3	1	3	3	3
NIT2	2	0	4	1	2	1	2	1	3	4	3	1	3	1	3	2	3	3
LIN7C	2	0	3	1	2	2	2	3	2	3	1	3	2	3	1	1	2	1
SEPTIN11	3	1	3	2	3	2	3	4	1	4	4	2	4	3	1	1	1	2
IFT57	0	0	2	1	1	0	4	3	0	1	2	2	4	3	1	0	2	1
CISD1	4	3	4	4	4	4	4	4	4	4	3	4	4	4	4	4	3	4
VAPA	2	2	3	2	4	3	2	2	3	4	2	1	3	3	3	3	2	3
CGN	2	2	4	3	1	3	4	3	3	4	4	3	3	4	4	4	4	4
SUCLA2	3	1	4	3	4	2	3	4	3	4	4	3	4	4	4	4	3	4
PEF1	3	2	4	3	3	4	3	4	3	4	3	4	3	3	3	3	3	4
PCYOX1	2	1	2	2	3	2	2	2	2	3	1	2	3	2	3	3	3	3
VPS28	2	1	3	4	3	3	3	4	3	2	2	3	3	4	3	4	3	3
NUDT5	1	0	3	1	3	1	3	3	2	3	3	1	2	2	2	2	1	3
PACSIN3	1	1	2	3	3	2	1	4	3	2	4	4	2	1	2	3	2	3
CORO1C	1	3	1	1	1	3	1	2	2	3	1	0	2	3	2	2	2	4
PSMD13	4	4	4	4	4	4	4	4	4	4	4	4	3	4	4	4	4	4
SUGT1	2	1	4	3	1	2	4	4	2	2	3	1	1	3	2	2	1	2
AFG3L2	0	1	2	3	2	2	2	3	2	3	2	2	3	3	3	4	3	3
STMND1	0	0	2	0	2	0	3	0	2	0	3	0	3	1	2	0	1	1
AP3B1	1	1	1	1	2	2	1	3	2	3	2	2	2	2	2	3	3	3
NDUFS8	1	0	2	0	2	1	1	2	1	3	3	1	2	1	1	2	3	3
PLOD2	1	0	3	0	2	1	2	0	3	3	3	2	3	1	3	0	3	1
NDUFA4	3	2	3	3	3	3	3	3	2	3	3	2	3	3	3	3	3	3
PIR	0	0	2	3	0	3	3	3	1	3	3	3	3	3	0	1	3	3
ADAM10	2	2	2	2	2	2	1	2	2	2	1	2	2	2	2	2	2	2
HS3ST1	1	3	1	2	1	3	0	1	2	3	0	3	2	2	1	2	2	2
IFIT3	1	0	0	1	0	2	0	0	1	2	0	0	0	1	1	2	0	2
MGST3	0	0	1	0	1	2	1	1	1	2	2	1	2	1	1	1	1	2
SLC27A2	1	1	3	2	2	2	3	3	1	2	3	1	2	1	1	2	2	2
ARPC3	3	3	3	3	2	3	3	3	3	3	3	3	3	3	2	2	2	2
INPP4B	0	0	2	1	2	1	2	1	0	1	1	0	0	1	1	1	1	1
DYNC1LI2	0	0	2	3	1	2	3	2	2	2	1	1	3	3	1	3	2	3
EEF1E1	2	2	3	2	3	3	3	3	1	3	2	3	2	2	1	2	3	2
TIMM44	1	0	1	1	1	1	1	2	0	2	1	1	1	1	0	1	2	2
NDUFB5	3	1	3	3	3	3	3	3	2	2	3	3	3	3	2	3	3	3
GET3	1	0	3	2	2	1	2	2	2	3	3	1	3	3	2	2	3	3
TSPAN1	2	2	2	3	2	3	2	3	2	2	3	3	2	2	2	2	1	2
CUTA	1	2	2	2	1	2	3	3	2	3	2	2	2	2	1	3	1	1
SH3BGRL	2	1	3	1	3	3	3	3	2	3	3	3	3	3	3	3	3	2
PMPCB	1	1	3	2	1	0	1	1	1	2	2	0	2	1	1	2	2	2
SPAG6	1	0	2	1	2	0	2	1	2	1	3	1	3	1	1	0	3	0
TOM1L1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	2	2	2
RP2	3	3	3	3	3	2	3	3	2	2	3	3	2	3	2	2	2	2
SLC25A12	0	1	2	2	1	3	2	3	0	1	3	1	2	2	2	0	3	3
PSMD10	2	1	3	2	2	2	2	2	1	3	1	2	2	3	1	1	2	3
ATP5MG	3	2	3	3	3	3	3	3	3	3	2	2	3	3	3	3	3	3
DDAH1	2	0	2	0	3	2	2	2	2	2	3	0	2	1	3	2	3	2
VAPB	0	1	2	1	3	3	1	3	3	3	2	2	2	3	2	2	2	2
NDUFA10	2	3	3	2	3	3	3	3	2	3	2	2	3	2	2	2	2	2
LYPLA2	1	2	1	2	1	2	2	3	1	3	2	2	2	3	1	1	2	2
H6PD	2	1	2	2	2	2	2	3	2	3	1	1	3	2	2	3	1	2
HSPA4L	3	0	3	1	2	1	3	2	1	1	3	1	2	2	3	2	3	2
BPNT1	3	3	3	1	3	3	3	3	3	3	3	3	3	3	3	3	3	3
SOD1	3	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
NRAS	1	0	2	0	3	0	3	1	3	1	3	1	3	0	3	3	3	3
LDLR	1	2	1	2	0	2	1	2	1	2	1	2	0	1	1	3	1	3
COL1A1	3	0	1	1	2	0	1	1	3	2	1	2	2	1	3	1	1	1
GBA	3	2	3	3	2	3	3	2	3	3	2	3	3	2	3	3	3	3
CD74	3	2	3	2	3	3	3	3	3	3	3	3	3	3	2	3	3	3
HLA-A	1	1	2	2	2	2	1	1	1	2	1	2	1	1	2	1	1	1
PCCB	0	0	0	0	1	0	0	2	0	0	1	2	0	1	0	0	2	2
SERPINE2	0	0	1	0	3	1	0	2	3	1	0	0	3	0	2	1	3	2
PRSS1	3	2	2	2	3	2	3	3	3	2	3	3	3	2	3	2	2	3
BPGM	2	1	2	2	1	2	3	2	1	2	2	2	2	3	2	2	2	2
YES1	0	0	1	0	1	0	3	1	0	1	3	2	3	1	1	2	1	0
RHOC	1	0	0	2	1	1	2	2	0	1	2	2	1	2	1	1	0	2
RBP1	2	1	3	0	2	2	3	2	2	2	3	2	2	1	2	2	3	3
TPM1	1	1	1	1	2	1	1	1	2	2	2	1	2	2	2	2	1	1
SNRPA1	0	1	1	0	1	1	2	1	0	1	1	0	1	2	2	1	1	2
C4B	2	1	1	0	2	0	0	1	1	0	1	0	2	0	1	0	0	0
RO60	2	2	2	2	3	2	2	2	3	3	2	3	3	2	3	3	3	3
COX5B	3	2	3	3	3	3	3	3	3	3	3	2	3	3	2	3	3	3
CTSA	3	1	3	1	2	2	3	2	3	3	3	1	3	2	2	2	3	3
ESD	2	1	3	2	3	2	3	2	1	2	1	1	3	3	1	3	1	2
IMPDH2	2	0	3	3	2	3	3	2	1	2	3	2	3	3	2	3	2	3
PIP	3	2	3	1	2	3	3	1	0	1	2	1	2	2	1	2	2	1
LAMP2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
MIF	1	1	2	2	2	2	2	3	2	2	2	2	2	3	2	2	2	1
H2AX	2	1	2	1	2	2	2	2	2	2	2	2	2	2	1	2	2	1
ACADS	0	0	1	1	1	2	2	2	1	3	1	1	3	2	1	3	2	3
H1-3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
ITGA2	3	1	0	1	2	3	2	3	2	3	3	3	3	2	1	1	1	3
IL1RN	1	3	3	3	2	2	2	3	3	3	3	2	2	3	3	3	3	3
TSPAN8	2	1	2	3	3	2	2	2	2	3	1	2	3	3	3	3	1	3
EIF2AK2	1	1	3	2	1	2	2	2	0	3	2	1	3	3	3	3	3	3
ATP2B1	1	1	1	1	1	1	2	2	1	2	1	1	0	1	2	2	2	2
CD9	1	1	1	2	1	1	1	3	1	3	2	2	1	3	1	1	1	1
NME2	3	2	2	3	3	3	2	3	3	3	3	2	3	2	3	3	3	3
SPRR1B	3	2	3	3	2	3	3	3	3	3	3	2	3	3	1	2	3	3
FBLN1	3	3	3	1	3	2	3	2	3	3	2	2	3	2	3	3	3	3
ME2	1	1	3	2	1	1	2	3	3	3	3	2	3	2	2	3	3	3
IGFBP5	0	0	1	0	2	0	2	1	0	0	3	0	2	0	2	0	1	0
DNAJB1	1	1	3	2	3	2	3	2	2	3	2	3	3	2	2	1	3	3
DNAJB2	0	0	3	1	1	1	3	3	1	2	2	1	2	2	3	3	2	2
DDX6	3	0	1	1	2	2	2	3	2	3	3	2	3	2	1	1	2	3
S100A4	3	2	2	3	3	2	3	3	3	2	3	2	3	2	2	2	2	2
FKBP2	0	2	3	3	2	2	3	3	2	3	2	2	2	1	2	2	3	2
AK4	0	0	0	1	0	0	0	2	0	2	1	1	0	0	0	1	0	2
MAPK3	1	0	1	3	2	2	3	2	2	3	1	1	2	3	2	2	2	2
PSMB6	2	3	2	2	3	2	2	2	3	3	2	2	3	2	3	3	3	3
CRABP2	2	1	2	1	3	2	3	3	3	2	2	0	2	3	2	2	2	1
OAS2	2	1	1	0	1	2	1	3	0	3	2	1	2	1	1	1	2	3
MAT2A	2	1	2	2	2	3	3	2	2	3	0	2	1	2	2	2	1	2
SDC4	3	2	2	0	2	2	2	1	3	2	1	2	2	1	3	2	2	1
PYCR1	0	1	0	2	1	3	0	2	0	3	1	3	0	2	0	3	1	3
PFN2	2	1	2	1	2	1	3	1	1	2	3	2	2	1	1	1	1	1
RPL22	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2
